CID	CIDint	IDSURVEY	TYPE	FIELD	zHD	zHDERR	z	zERR	HOST_LOGMASS	HOST_LOGMASS_ERR	SNRMAX1	SNRMAX2	SNRMAX3	PKMJD	PKMJDERR	x1	x1ERR	c	cERR	mB	mBERR	x0	x0ERR	COV_x1_c	COV_x1_x0	COV_c_x0	NDOF	FITCHI2	FITPROB	RA	DECL	TGAPMAX	MU	MUERR	MUERR_NOSIGMB	MURES	MUPULL	sbar	cbar	ERRCODE
2005eq	2005	64	0	NULL	0.02762594260275364	0.00001	0.0284	0.00001	10.918	0.499	76.9303	71.433	66.6766	53654.777	0.091	1.2704	0.0782588	0.010671	0.0286346	16.0896517195	0.0514953	0.00676304203497	0.000333507	-0.000380833	1.02693e-6	-7.64719e-6	66	46.0239	0.9765	47.20565	-7.0334	-7.0334	35.5316	0.0595	0.0595	0.061	1.022	1.239	0.034	0
2006ev	2006	64	0	NULL	0.027954697608947754	0.00001	0.0268	0.00001	10.347	4.225	45.4527	39.9935	37.0336	53988.516	0.951	-1.42759	0.2026	0.035843	0.0510915	16.6669369821	0.1087	0.0039739801305	0.000424866	0.000657518	-0.0000175264	-0.0000115527	18	12.1976	0.877	322.747192	13.98925	13.98925	35.6531	0.1434	0.1434	0.311	2.167	-1.556	0.109	0
2003U	2003	63	0	NULL	0.02854849584400654	0.00001	0.0255	0.00001	10.668	0.043	76.8939	71.4325	66.6775	52677.484	0.145	-2.10171	0.3268	-0.0214687	0.0337058	16.274298442600003	0.0418028	0.00570532200488	0.000227378	0.00330852	-0.0000330555	-6.40847e-6	7	3.6514	0.8189	260.690125	62.16407	62.16407	35.3438	0.0788	0.0788	0.112	1.415	-2.297	0.011	0
2009ad	2009	65	1	NULL	0.028600258752703667	0.00001	0.02839	0.00001	10.654	3.89	62.1116	57.1427	50.7614	54886.582	0.12	0.1771	0.0746317	-0.0620719	0.0317793	15.9030136274	0.0719432	0.00803109569097	0.000549381	-0.000129176	4.56355e-7	-0.0000140313	48	23.7891	0.9991	75.889137	6.65995	6.65995	35.4175	0.0605	0.0605	-0.053	-0.868	0.194	-0.08	0
1994Q	1994	61	0	NULL	0.028705155476927757	0.00001	0.02946	0.00001	10.156	0.113	36.1915	27.1442	27.1436	49496.539	0.548	0.8489	0.2995	0.0389745	0.0400216	16.146265159000002	0.0671464	0.00641941179749	0.000417175	0.00461878	-0.0000610464	-0.0000139925	23	4.5463	1	252.475555	40.428181	40.428181	35.4415	0.0796	0.0796	-0.111	-1.389	1.	0.005	0
2007is	2007	65	1	NULL	0.028778569772839546	0.00001	0.02953	0.00001	10.701	0.087	49.7514	47.619	45.2488	54366.711	0.577	-0.411004	0.1825	0.0346866	0.0316595	16.2406513745	0.0396009	0.00588476512266	0.000223169	-0.0014824	0.0000100529	-5.93311e-6	13	14.283	0.4288	251.810867	40.243443	40.243443	35.3728	0.0772	0.0772	-0.185	-2.39	-0.18	-0.035	0
2008ar	2008	65	1	NULL	0.028836451470851898	0.00001	0.02617	0.00001	10.409	0.402	65.3595	60.6059	58.1396	54534.723	0.072	0.0198121	0.0707282	-0.0392816	0.0268539	16.0117685866	0.036209	0.00726595379943	0.000248287	-0.000102197	-5.8883e-7	-5.34877e-6	40	28.3712	0.9157	186.158005	10.837983	10.837983	35.4335	0.0597	0.0597	0.144	2.41	-0.024	0.019	0
2006qo	2006	64	0	NULL	0.029075495898723602	0.00001	0.03003	0.00001	11.22	3.401	62.5044	55.562	52.649	54083.039	0.068	0.3931	0.0628048	0.1931	0.0277298	16.6460571186	0.0385403	0.00405110045295	0.000150507	-0.0000712409	-8.00936e-7	-3.3508e-6	45	55.4833	0.1595	120.035088	56.368679	56.368679	35.3997	0.0604	0.0604	-0.195	-3.227	0.446	0.113	0
2007cc	2007	65	1	NULL	0.029273683205246925	0.00001	0.02908	0.00001	11.237	3.402	52.6315	40.8164	34.3643	54216.293	0.036	1.7692	0.6914	0.1132	0.0544276	16.0194348207	0.0952271	0.00721463298708	0.00067928	0.0256433	-0.00032341	-0.0000336184	15	27.6717	0.0345942	212.175217	-20.403473	-20.403473	35.2134	0.0911	0.0911	-0.31	-3.403	3.124	0.093	0
2002ck	2002	63	0	NULL	0.029977530241012573	0.00001	0.0298	0.00001	10.924	0.153	83.3517	83.3044	76.8889	52396.902	0.541	0.1312	0.0892005	-0.0415141	0.0315873	16.1064544014	0.0717399	0.0066594230888	0.000458059	-0.000343909	5.68428e-6	-0.0000111368	14	27.4635	0.025179	236.753174	-0.99026	-0.99026	35.5506	0.0641	0.0641	-0.027	-0.42	0.14	-0.051	0
